item_id,name,item_type,parent_id,file_path,file_size,created_at,created_by
18,Links.docx,file,15,VIC Leden/Leerpaden & materiaal/Leerpaden/Start2Invest/Links.docx,141568,2025-12-05 16:49:43.118592+00,1
19,Start To Invest Leerpad.docx,file,15,VIC Leden/Leerpaden & materiaal/Leerpaden/Start2Invest/Start To Invest Leerpad.docx,23244,2025-12-05 16:49:43.118592+00,1
20,Templates,folder,2,,,2025-12-05 16:49:43.118592+00,1
21,Sjabloon-VIC-Analyse_LEEG_HOUDEN_AUB.docx,file,20,VIC Leden/Leerpaden & materiaal/Templates/Sjabloon-VIC-Analyse_LEEG_HOUDEN_AUB.docx,109913,2025-12-05 16:49:43.118592+00,1
22,VICPPT_Template_Aandelen.ppt,file,20,VIC Leden/Leerpaden & materiaal/Templates/VICPPT_Template_Aandelen.ppt,293340,2025-12-05 16:49:43.118592+00,1
23,Macro AV's,folder,1,,,2025-12-05 16:49:43.118592+00,1
24,AV5 - VIC.pptx,file,23,VIC Leden/Macro AV's/AV5 - VIC.pptx,2278325,2025-12-05 16:49:43.118592+00,1
25,Macro Alg Verg 3.pptx,file,23,VIC Leden/Macro AV's/Macro Alg Verg 3.pptx,7025671,2025-12-05 16:49:43.118592+00,1
26,MACRO_AV4.pptx,file,23,VIC Leden/Macro AV's/MACRO_AV4.pptx,11581931,2025-12-05 16:49:43.118592+00,1
27,MacroVICAV2 2025.pptx,file,23,VIC Leden/Macro AV's/MacroVICAV2 2025.pptx,13019942,2025-12-05 16:49:43.118592+00,1
28,Powerpoints Lezingen,folder,1,,,2025-12-05 16:49:43.118592+00,1
29,LYC_PPT.pdf,file,28,VIC Leden/Powerpoints Lezingen/LYC_PPT.pdf,1468469,2025-12-05 16:49:43.118592+00,1
30,Statuten,folder,1,,,2025-12-05 16:49:43.118592+00,1
31,Algemeen Clubreglement - VEK Investment Club.pdf,file,30,VIC Leden/Statuten/Algemeen Clubreglement - VEK Investment Club.pdf,203337,2025-12-05 16:49:43.118592+00,1
32,Beleggingsstatuut-VEK-Investment-Club.pdf,file,30,VIC Leden/Statuten/Beleggingsstatuut-VEK-Investment-Club.pdf,205221,2025-12-05 16:49:43.118592+00,1
33,Voorstellen 2025-2026,folder,1,,,2025-12-05 16:49:43.118592+00,1
34,Hoofdportefeuille,folder,33,,,2025-12-05 16:49:43.118592+00,1
35,Voorstellen Aandelen,folder,34,,,2025-12-05 16:49:43.118592+00,1
36,PDF voorstel,folder,35,,,2025-12-05 16:49:43.118592+00,1
37,Analyse Inditex.pdf,file,36,VIC Leden/Voorstellen 2025-2026/Hoofdportefeuille/Voorstellen Aandelen/PDF voorstel/Analyse Inditex.pdf,711218,2025-12-05 16:49:43.118592+00,1
38,analyse_Novo.pdf,file,36,VIC Leden/Voorstellen 2025-2026/Hoofdportefeuille/Voorstellen Aandelen/PDF voorstel/analyse_Novo.pdf,969695,2025-12-05 16:49:43.118592+00,1
39,Analyse_Sanlorenzo.pdf,file,36,VIC Leden/Voorstellen 2025-2026/Hoofdportefeuille/Voorstellen Aandelen/PDF voorstel/Analyse_Sanlorenzo.pdf,822984,2025-12-05 16:49:43.118592+00,1
40,VIC_EliaGroup_Analyse_WP.docx,file,36,VIC Leden/Voorstellen 2025-2026/Hoofdportefeuille/Voorstellen Aandelen/PDF voorstel/VIC_EliaGroup_Analyse_WP.docx,101307,2025-12-05 16:49:43.118592+00,1
41,PPT voorstel,folder,35,,,2025-12-05 16:49:43.118592+00,1
42,AGI_presentatie.pptx,file,41,VIC Leden/Voorstellen 2025-2026/Hoofdportefeuille/Voorstellen Aandelen/PPT voorstel/AGI_presentatie.pptx,3526434,2025-12-05 16:49:43.118592+00,1
43,PPT-Industrials Valeo.pdf,file,41,VIC Leden/Voorstellen 2025-2026/Hoofdportefeuille/Voorstellen Aandelen/PPT voorstel/PPT-Industrials Valeo.pdf,911128,2025-12-05 16:49:43.118592+00,1
44,Voorstellen AV2.pptx,file,41,VIC Leden/Voorstellen 2025-2026/Hoofdportefeuille/Voorstellen Aandelen/PPT voorstel/Voorstellen AV2.pptx,27070117,2025-12-05 16:49:43.118592+00,1
45,Voorstellen_AV5.pptx,file,41,VIC Leden/Voorstellen 2025-2026/Hoofdportefeuille/Voorstellen Aandelen/PPT voorstel/Voorstellen_AV5.pptx,10613992,2025-12-05 16:49:43.118592+00,1
46,Voorstellen obligaties,folder,34,,,2025-12-05 16:49:43.118592+00,1
47,Satelietportefeuille,folder,33,,,2025-12-05 16:49:43.118592+00,1
48,Voorstellen aandelen,folder,47,,,2025-12-05 16:49:43.118592+00,1
49,BancaSistema.pptx,file,48,VIC Leden/Voorstellen 2025-2026/Satelietportefeuille/Voorstellen aandelen/BancaSistema.pptx,4387376,2025-12-05 16:49:43.118592+00,1
50,Voorstellen obligaties,folder,47,,,2025-12-05 16:49:43.118592+00,1
51,Voorstellen opties,folder,47,,,2025-12-05 16:49:43.118592+00,1
52,Voorstellen Vorige Jaren,folder,1,,,2025-12-05 16:49:43.118592+00,1
53,2020-2021,folder,52,,,2025-12-05 16:49:43.118592+00,1
54,Aandeel_VIC_AMD.pdf,file,53,VIC Leden/Voorstellen Vorige Jaren/2020-2021/Aandeel_VIC_AMD.pdf,195797,2025-12-05 16:49:43.118592+00,1
55,Aankoopvoorstel_Walt_Disney.pdf,file,53,VIC Leden/Voorstellen Vorige Jaren/2020-2021/Aankoopvoorstel_Walt_Disney.pdf,1292497,2025-12-05 16:49:43.118592+00,1
56,GIMV-VoorstelVIC-geconverteerd.pdf,file,53,VIC Leden/Voorstellen Vorige Jaren/2020-2021/GIMV-VoorstelVIC-geconverteerd.pdf,221466,2025-12-05 16:49:43.118592+00,1
57,microsoft-VIC_1.pdf,file,53,VIC Leden/Voorstellen Vorige Jaren/2020-2021/microsoft-VIC_1.pdf,428185,2025-12-05 16:49:43.118592+00,1
58,VIC_VolkswagenGroup.pdf,file,53,VIC Leden/Voorstellen Vorige Jaren/2020-2021/VIC_VolkswagenGroup.pdf,481358,2025-12-05 16:49:43.118592+00,1
59,Voorstel_Prosus.pdf,file,53,VIC Leden/Voorstellen Vorige Jaren/2020-2021/Voorstel_Prosus.pdf,80346,2025-12-05 16:49:43.118592+00,1
60,Warehouses-De-Pauw.pdf,file,53,VIC Leden/Voorstellen Vorige Jaren/2020-2021/Warehouses-De-Pauw.pdf,651400,2025-12-05 16:49:43.118592+00,1
61,waste_management_pdf_af.pdf,file,53,VIC Leden/Voorstellen Vorige Jaren/2020-2021/waste_management_pdf_af.pdf,296806,2025-12-05 16:49:43.118592+00,1
62,2021-2022,folder,52,,,2025-12-05 16:49:43.118592+00,1
63,2022-2023,folder,52,,,2025-12-05 16:49:43.118592+00,1
64,Aankoopvoorstel Pfizer.pdf,file,63,VIC Leden/Voorstellen Vorige Jaren/2022-2023/Aankoopvoorstel Pfizer.pdf,2192511,2025-12-05 16:49:43.118592+00,1
65,Aankoopvoorstelvoorstel_VIC_Adyen.pdf,file,63,VIC Leden/Voorstellen Vorige Jaren/2022-2023/Aankoopvoorstelvoorstel_VIC_Adyen.pdf,1494416,2025-12-05 16:49:43.118592+00,1
66,Analyse NVIDIA.docx (1).pdf,file,63,VIC Leden/Voorstellen Vorige Jaren/2022-2023/Analyse NVIDIA.docx (1).pdf,1662188,2025-12-05 16:49:43.118592+00,1
67,Bijkoopvoorstel X-FAB.pdf,file,63,VIC Leden/Voorstellen Vorige Jaren/2022-2023/Bijkoopvoorstel X-FAB.pdf,467606,2025-12-05 16:49:43.118592+00,1
68,InMode Ltd PPT.pdf,file,63,VIC Leden/Voorstellen Vorige Jaren/2022-2023/InMode Ltd PPT.pdf,1927890,2025-12-05 16:49:43.118592+00,1
69,Suncor Energy Inc..pdf,file,63,VIC Leden/Voorstellen Vorige Jaren/2022-2023/Suncor Energy Inc..pdf,2656226,2025-12-05 16:49:43.118592+00,1
70,VIC Analyse AEHR Test Systems.pdf,file,63,VIC Leden/Voorstellen Vorige Jaren/2022-2023/VIC Analyse AEHR Test Systems.pdf,1112896,2025-12-05 16:49:43.118592+00,1
71,VIC Voorstel_ Aedifica (AED).docx,file,63,VIC Leden/Voorstellen Vorige Jaren/2022-2023/VIC Voorstel_ Aedifica (AED).docx,3013971,2025-12-05 16:49:43.118592+00,1
72,Voorstel AB Inbev.docx,file,63,VIC Leden/Voorstellen Vorige Jaren/2022-2023/Voorstel AB Inbev.docx,798422,2025-12-05 16:49:43.118592+00,1
73,Voorstel Adobe - Carlo Follesa - Timo Nuyttens.pdf,file,63,VIC Leden/Voorstellen Vorige Jaren/2022-2023/Voorstel Adobe - Carlo Follesa - Timo Nuyttens.pdf,1949367,2025-12-05 16:49:43.118592+00,1
74,Voorstel Recticel.pdf,file,63,VIC Leden/Voorstellen Vorige Jaren/2022-2023/Voorstel Recticel.pdf,786560,2025-12-05 16:49:43.118592+00,1
75,Voorstel Volkswagen VIC-1.pdf,file,63,VIC Leden/Voorstellen Vorige Jaren/2022-2023/Voorstel Volkswagen VIC-1.pdf,800482,2025-12-05 16:49:43.118592+00,1
76,Voorstel ZPRV - Carlo Follesa.pdf,file,63,VIC Leden/Voorstellen Vorige Jaren/2022-2023/Voorstel ZPRV - Carlo Follesa.pdf,1798355,2025-12-05 16:49:43.118592+00,1
77,Voorstel-Schneider-Electric.pdf,file,63,VIC Leden/Voorstellen Vorige Jaren/2022-2023/Voorstel-Schneider-Electric.pdf,956169,2025-12-05 16:49:43.118592+00,1
78,2023-2024,folder,52,,,2025-12-05 16:49:43.118592+00,1
